family_key	headword	members
the	the	the
to	to	to
and	and	and
of	of	of
a	a	a
in	in	in | inning
i	i	i
be	is	is | was | be | are | were | been | being | am
for	for	for
that	that	that | thats
you	you	you
it	it	it
on	on	on
with	with	with
this	this	this
as	as	as
have	have	have | has | had | having
at	at	at
he	he	he
not	not	not | noted | notable | noting
by	by	by
but	but	but
from	from	from
my	my	my
or	or	or
we	we	we
an	an	an
your	your	your | yours
all	all	all
so	so	so
his	his	his
they	they	they
me	me	me
if	if	if
one	one	one | ones
can	can	can | canal | cans
will	will	will
just	just	just
like	like	like | likely | likes
about	about	about
up	up	up
out	out	out | outer | outs
what	what	what | whats
when	when	when
more	more	more
do	do	do | did | does | doing | done
no	no	no
who	who	who
it'	it's	it's
their	their	their | theirs
there	there	there | theres
her	her	her | hers
which	which	which
time	time	time | times | timely
get	get	get | got | getting | gets | gotten
would	would	would
she	she	she | sheer
new	new	new | news | newly | newer
people	people	people | peoples
how	how	how
don't	don't	don't
some	some	some
also	also	also
them	them	them | themed
now	now	now
oth	other	other | others
i'm	i'm	i'm
its	its	its
our	our	our | ours
than	than	than
good	good	good | goods | goodness
only	only	only
aft	after	after
first	first	first | firstly
him	him	him
into	into	into
know	know	know | known | knew | knows | knowing
see	see	see | seen | saw | sees
two	two	two
make	make	make | made | makes
over	over	over | overly
think	think	think | thought | thinking | thinks
any	any	any
then	then	then
could	could	could
back	back	back | backed | backing | backs
these	these	these
us	us	us
want	want	want | wanted | wants | wanting
because	because	because
go	go	go | went | goes | gone
well	well	well | wells
say	said	said | say | says | saying
way	way	way | ways
most	most	most | mostly
much	much	much
very	very	very
where	where	where
even	even	even | evening
should	should	should | shoulder | shoulders
may	may	may | mayor
here	here	here
need	need	need | needs | needed | needing | needless
real	really	really | real | reality | realize | realise | realizes | realization | realism | realities
right	right	right | rights | rightly
work	work	work | working | works | worked | workers | worker
year	year	year | years | yearly
day	day	day | days | daily
too	too	too
going	going	going
before	before	before
off	off	off | offer | offered | offers | offering | offs
why	why	why
still	still	still
take	take	take | took | taken | takes
many	many	many
nev	never	never
those	those	those
life	life	life
world	world	world | worlds
down	down	down | downs
great	great	great | greater | greatly | greatness
through	through	through
you're	you're	you're
last	last	last | lasting | lasted | lasts | lastly
s	s	s
that'	that's	that's
while	while	while
best	best	best
such	such	such
love	love	love | lovely | loves
man	man	man | mansion | manning | manor | mans | manly
home	home	home | homes | homeless
long	long	long | longer
look	look	look | looking | looks | looked
someth	something	something
use	use	use | uses | useful | useless
can't	can't	can't
same	same	same
used	used	used
both	both	both | bother | bothered
every	every	every
come	come	come | came | comes
part	part	part | parts | partly
state	state	state | states | statement | statements
three	three	three
around	around	around
between	between	between
alway	always	always
bett	better	better
find	find	find | found | finding | finds
help	help	help | helped | helping | helps | helpful | helpless
high	high	high | higher | highly
little	little	little
old	old	old | older | olds
since	since	since
anoth	another	another
own	own	own | owner | owned | owners | ownership | owns | owning
thing	things	things | thing
und	under	under | underlying | und
dur	during	during | durable
game	game	game | games
i've	i've	i've
give	give	give | given | gave | gives
house	house	house | houses
place	place	place | places | placement
school	school	school | schools | schooling
again	again	again
next	next	next
each	each	each
mr	mr	mr
without	without	without
against	against	against
didn't	didn't	didn't
end	end	end | ended | ends | ending | endless | endorsed
must	must	must
show	show	show | shows | showing | showed | shower | showers
big	big	big
feel	feel	feel | feeling | felt | feels
sure	sure	sure | surely
team	team	team | teams
ever	ever	ever
famy	family	family | families
keep	keep	keep | kept | keeping | keeps | keeper
might	might	might
please	please	please
put	put	put | putting | puts
money	money	money
free	free	free | freely
second	second	second | seconds | secondly
someone	someone	someone
away	away	away
leave	left	left | leave | leaves
numb	number	number | numbers | numbered
city	city	city | cities
lot	lot	lot | lots
name	name	name | names | namely
night	night	night | nights
play	play	play | playing | players | played | player | plays
until	until	until
company	company	company | companies
few	few	few | fewer
he'	he's	he's
let	let	let | letting | lets
cal	called	called | calling | cal
different	different	different | differently
set	set	set | setting | sets
howev	however	however
god	god	god | gods
govern	government	government | governor | governments | governing | governors | governed | governmental | govern
group	group	group | groups
public	public	public | publicly | publicity
top	top	top | tops | topped
women	women	women
busy	business	business | busy | businesses
care	care	care | career | careful | carefully | cares | careers
start	start	start | started | starting | starts | starter | starters
system	system	system | systems
week	week	week | weeks | weekly
already	already	already
anyth	anything	anything
case	case	case | cases
noth	nothing	nothing
person	person	person | personal | personally | personality | persons | personalities
today	today	today
change	change	change | changes
enough	enough	enough
everyth	everything	everything
full	full	full | fuller
live	live	live | lives | lively
mak	making	making | maker | makers
point	point	point | points | pointed | pointing | pointless
read	read	read | reading | readers | reader | reads
there'	there's	there's
tell	told	told | tell | tells
yet	yet	yet
bad	bad	bad | badly
doesn't	doesn't	doesn't
four	four	four
hard	hard	hard | harder | hardly
mean	mean	mean | means | meaning
once	once	once
support	support	support | supporting | supported | supporters | supports | supporter
includ	including	including | included
music	music	music | musical
pow	power	power | powerful | powers | powered
stop	stop	stop | stopped | stops | stopping
wat	water	water | waters
bas	based	based
believe	believe	believe | believes
call	call	call | calls
head	head	head | heads | headed | heading | header
men	men	men | mentioned | mention | mentions | mentioning
nation	national	national | nation | nations | nationalist | nationals | nationally | nationalism | nationality
small	small	small | smaller
white	white	white | whites
far	far	far
job	job	job | jobs
side	side	side | sides
though	though	though
try	try	try | trying | tried | tries
yes	yes	yes
actu	actually	actually | actual
american	american	american | americans
lat	later	later | lateral
less	less	less | lesser
line	line	line | lines
ord	order	order | ordered | orders | ordering
party	party	party | parties
