family_key	headword	members
de	de	de
a	a	a
o	o	o
que	que	que
e	e	e
do	do	do
em	em	em
da	da	da
é	é	é
para	para	para
não	não	não
um	um	um
uma	uma	uma | umas
com	com	com | comer
no	no	no
se	se	se
na	na	na
por	por	por
os	os	os
eu	eu	eu
como	como	como
as	as	as
mais	mais	mais
dos	dos	dos
mas	mas	mas
foi	foi	foi
ao	ao	ao
me	me	me
você	você	você | vocês
ser	ser	ser
seu	seu	seu
sua	sua	sua | suas
tem	tem	tem | temer
são	são	são
das	das	das
ou	ou	ou
à	à	à
ele	ele	ele | eles
muito	muito	muito | muitos
isso	isso	isso
já	já	já
nos	nos	nos
também	também	também
quando	quando	quando
está	está	está | estás
meu	meu	meu
pelo	pelo	pelo | pelos
ela	ela	ela | elas
vai	vai	vai
só	só	só
dia	dia	dia | dias
pela	pela	pela | pelas
sobre	sobre	sobre
bem	bem	bem
até	até	até
mesmo	mesmo	mesmo | mesmos
pode	pode	pode | podes
pessoa	pessoas	pessoas | pessoa
te	te	te
ter	ter	ter
tudo	tudo	tudo
ainda	ainda	ainda
aqui	aqui	aqui
faz	fazer	fazer | faz
minha	minha	minha | minhas
ano	anos	anos | ano
todo	todos	todos | todo
quem	quem	quem
sem	sem	sem
agora	agora	agora
entre	entre	entre
era	era	era
seus	seus	seus
nas	nas	nas
assim	assim	assim
depois	depois	depois
este	este	este | estes
onde	onde	onde
vou	vou	vou
brasil	brasil	brasil
mundo	mundo	mundo | mundos
estão	estão	estão
esse	esse	esse
tempo	tempo	tempo | tempos
vida	vida	vida | vidas
essa	essa	essa | essas
há	há	há
porque	porque	porque
tenho	tenho	tenho
casa	casa	casa | casas
nada	nada	nada
the	the	the
ver	ver	ver
melh	melhor	melhor
bom	bom	bom
foram	foram	foram
sempre	sempre	sempre
grande	grande	grande | grandes
esta	esta	esta | estas
vez	vez	vez
aos	aos	aos
apena	apenas	apenas
coisa	coisa	coisa | coisas
sou	sou	sou
dois	dois	dois
nunca	nunca	nunca
quero	quero	quero
mim	mim	mim
parte	parte	parte | partes
outro	outros	outros | outro
hoje	hoje	hoje
sei	sei	sei
tão	tão	tão
então	então	então
nem	nem	nem
nossa	nossa	nossa | nossas
cidade	cidade	cidade | cidades
qual	qual	qual
às	às	às
deus	deus	deus
quer	quer	quer | querer
estou	estou	estou
trabalho	trabalho	trabalho | trabalhos
nós	nós	nós
durante	durante	durante
estado	estado	estado | estados
forma	forma	forma | formas
novo	novo	novo | novos
pra	pra	pra
seja	seja	seja
mai	maior	maior
primeiro	primeiro	primeiro | primeiros
será	será	será
cada	cada	cada
lá	lá	lá
qualqu	qualquer	qualquer
sim	sim	sim
acho	acho	acho
meno	menos	menos
alguém	alguém	alguém
ante	antes	antes | ante
nome	nome	nome | nomes
sendo	sendo	sendo
desde	desde	desde
diz	diz	diz | dizer
falar	falar	falar
sabe	sabe	sabe | sabes
tinha	tinha	tinha
contra	contra	contra
dar	dar	dar
ir	ir	ir
la	la	la
to	to	to
boa	boa	boa | boas
estava	estava	estava
trê	três	três
algun	alguns	alguns
ficar	ficar	ficar
mãe	mãe	mãe | mães
of	of	of
pouco	pouco	pouco | poucos
rio	rio	rio | rios
segundo	segundo	segundo | segundos
além	além	além
disse	disse	disse
noite	noite	noite | noites
nosso	nosso	nosso | nossos
nova	nova	nova | novas
toda	toda	toda | todas
caso	caso	caso | casos
deve	deve	deve
história	história	história | histórias
podem	podem	podem
veze	vezes	vezes
estar	estar	estar
apó	após	após
dua	duas	duas
grupo	grupo	grupo | grupos
meio	meio	meio | meios
primeira	primeira	primeira | primeiras
tipo	tipo	tipo | tipos
cara	cara	cara | caras
paulo	paulo	paulo
lado	lado	lado | lados
mulh	mulher	mulher
outra	outras	outras | outra
enquanto	enquanto	enquanto
fez	fez	fez
ninguém	ninguém	ninguém
momento	momento	momento | momentos
vamo	vamos	vamos
verdade	verdade	verdade | verdades
aí	aí	aí
foto	foto	foto | fotos
lugar	lugar	lugar
nacion	nacional	nacional
paí	país	país
presidente	presidente	presidente | presidentes
quanto	quanto	quanto | quantos
sab	saber	saber | sabor
sido	sido	sido
volta	volta	volta | voltas
for	for	for
algo	algo	algo
conta	conta	conta | contas
família	família	família | famílias
gente	gente	gente
alguma	algumas	algumas | alguma
fim	fim	fim
fin	final	final | fins
parece	parece	parece
semana	semana	semana | semanas
acordo	acordo	acordo | acordos
hora	hora	hora | horas
jogo	jogo	jogo | jogos
num	num	num
têm	têm	têm
atravé	através	através
governo	governo	governo | governos
meus	meus	meus
pai	pai	pai
quase	quase	quase
tanto	tanto	tanto | tantos
tu	tu	tu
dentro	dentro	dentro
filho	filho	filho | filhos
fora	fora	fora
homem	homem	homem
vem	vem	vem
vídeo	vídeo	vídeo | vídeos
música	música	música | músicas
pois	pois	pois
preciso	preciso	preciso
vão	vão	vão
água	água	água | águas
d	d	d
disso	disso	disso
fazendo	fazendo	fazendo
janeiro	janeiro	janeiro
pod	poder	poder
dele	dele	dele | deles
direito	direito	direito | direitos
mil	mil	mil
numa	numa	numa
número	número	número | números
dinheiro	dinheiro	dinheiro
dá	dá	dá
in	in	in
queria	queria	queria
seria	seria	seria
sistema	sistema	sistema | sistemas
amor	amor	amor
escola	escola	escola | escolas
frente	frente	frente
mesma	mesma	mesma | mesmas
muita	muitas	muitas | muita
tarde	tarde	tarde
loc	local	local
morte	morte	morte | mortes
segunda	segunda	segunda
amigo	amigos	amigos | amigo
brasileiro	brasileiro	brasileiro | brasileiros
i	i	i
precisa	precisa	precisa
projeto	projeto	projeto | projetos
região	região	região
sair	sair	sair
sul	sul	sul
temo	temos	temos
teve	teve	teve
área	área	área | áreas
dela	dela	dela | delas
ess	esses	esses
lei	lei	lei
partir	partir	partir
problema	problema	problema | problemas
público	público	público | públicos
site	site	site | sites
and	and	and
comigo	comigo	comigo
embora	embora	embora
guerra	guerra	guerra | guerras
centro	centro	centro | centros
deixar	deixar	deixar
estamo	estamos	estamos
fica	fica	fica
filme	filme	filme | filmes
havia	havia	havia
importante	importante	importante | importantes
lo	lo	lo
logo	logo	logo
mal	mal	mal
sob	sob	sob
ger	geral	geral
lhe	lhe	lhe | lhes
programa	programa	programa | programas
soci	social	social
vário	vários	vários
certo	certo	certo | certos
equipe	equipe	equipe | equipes
feito	feito	feito | feitos
neste	neste	neste | nestes
segurança	segurança	segurança
terra	terra	terra | terras
ex	ex	ex
exemplo	exemplo	exemplo | exemplos
falta	falta	falta
fav	favor	favor
série	série	série
twitt	twitter	twitter
vi	vi	vi
causa	causa	causa | causas
mulhere	mulheres	mulheres
uso	uso	uso | usos
aquele	aquele	aquele | aqueles
brasileira	brasileira	brasileira | brasileiras
criança	crianças	crianças | criança
deste	deste	deste | destes
feira	feira	feira | feiras
fosse	fosse	fosse
isto	isto	isto
milhõe	milhões	milhões
população	população	população
posso	posso	posso
quatro	quatro	quatro
deu	deu	deu
ficou	ficou	ficou
polícia	polícia	polícia | polícias
processo	processo	processo | processos
usar	usar	usar
ajuda	ajuda	ajuda
cabeça	cabeça	cabeça | cabeças
cerca	cerca	cerca
corpo	corpo	corpo | corpos
desta	desta	desta | destas
fui	fui	fui
mese	meses	meses
realmente	realmente	realmente
tenha	tenha	tenha
vária	várias	várias
algum	algum	algum
c	c	c
cinco	cinco	cinco
desenvolvimento	desenvolvimento	desenvolvimento
dessa	dessa	dessa | dessas
início	início	início
livro	livro	livro | livros
medo	medo	medo | medos
passar	passar	passar
relação	relação	relação
tal	tal	tal
ajudar	ajudar	ajudar
claro	claro	claro | claros
existe	existe	existe
atenção	atenção	atenção
chegar	chegar	chegar
desse	desse	desse
informaçõe	informações	informações
los	los	los
norte	norte	norte
política	política	política | políticas
ponto	ponto	ponto | pontos
possível	possível	possível
quais	quais	quais
quis	quiser	quiser | quis
rede	rede	rede | redes
universidade	universidade	universidade | universidades
apesar	apesar	apesar
começou	começou	começou
feliz	feliz	feliz
gosto	gosto	gosto
homen	homens	homens
maneira	maneira	maneira | maneiras
nesse	nesse	nesse
última	última	última | últimas
difícil	difícil	difícil
empresa	empresa	empresa | empresas
fala	fala	fala | falas
força	força	força | forças
internet	internet	internet
passado	passado	passado | passados
r	r	r
rua	rua	rua | ruas
veja	veja	veja
base	base	base | bases
dado	dados	dados | dado
demais	demais	demais
eram	eram	eram
especi	especial	especial
internacion	internacional	internacional
manhã	manhã	manhã
nenhum	nenhum	nenhum
olha	olha	olha
pensar	pensar	pensar
povo	povo	povo | povos
diferente	diferentes	diferentes | diferente
falando	falando	falando
merda	merda	merda | merdas
poderia	poderia	poderia
porém	porém	porém
unido	unidos	unidos | unido
atrá	atrás	atrás
deixa	deixa	deixa
futebol	futebol	futebol
mês	mês	mês
pesso	pessoal	pessoal
próprio	próprio	próprio | próprios
saúde	saúde	saúde
somo	somos	somos
entanto	entanto	entanto
maioria	maioria	maioria
mão	mão	mão | mãos
papel	papel	papel
paz	paz	paz
real	real	real | reality
talvez	talvez	talvez
último	último	último | últimos
acabou	acabou	acabou
aconteceu	aconteceu	aconteceu
chegou	chegou	chegou
encontrar	encontrar	encontrar
fazem	fazem	fazem
fed	federal	federal
forte	forte	forte | fortes
fácil	fácil	fácil
melhore	melhores	melhores
minuto	minutos	minutos | minuto
outubro	outubro	outubro
passa	passa	passa
paíse	países	países
produção	produção	produção
sociedade	sociedade	sociedade | sociedades
voltar	voltar	voltar
educação	educação	educação
fato	fato	fato | fatos
fiz	fiz	fiz | fizer
leg	legal	legal
longo	longo	longo | longos
março	março	março
passou	passou	passou
si	si	si
sinto	sinto	sinto
tv	tv	tv
uns	uns	uns
acesso	acesso	acesso | acessos
aquela	aquela	aquela | aquelas
campo	campo	campo | campos
coração	coração	coração
cultura	cultura	cultura | culturas
estavam	estavam	estavam
junho	junho	junho
lista	lista	lista | listas
nenhuma	nenhuma	nenhuma
p	p	p
pena	pena	pena | penas
portug	portugal	portugal
senh	senhor	senhor
viu	viu	viu
certeza	certeza	certeza
começar	começar	começar
consigo	consigo	consigo
espaço	espaço	espaço | espaços
evento	evento	evento | eventos
filha	filha	filha | filhas
ofici	oficial	oficial
ouvir	ouvir	ouvir
palavra	palavras	palavras | palavra
perto	perto	perto
princip	principal	principal
s	s	s
setembro	setembro	setembro
vivo	vivo	vivo | vivos
vê	vê	vê
único	único	único | únicos
alto	alto	alto | altos
apoio	apoio	apoio
entrar	entrar	entrar
ideia	ideia	ideia | ideias
junto	junto	junto | juntos
levar	levar	levar
maio	maio	maio
nessa	nessa	nessa | nessas
ontem	ontem	ontem
porto	porto	porto | portos
própria	própria	própria | próprias
serviço	serviço	serviço | serviços
x	x	x
única	única	única | únicas
agosto	agosto	agosto
bastante	bastante	bastante
jesus	jesus	jesus
jovem	jovem	jovem
livre	livre	livre | livres
língua	língua	língua | línguas
nesta	nesta	nesta | nestas
olho	olhos	olhos | olho
pais	pais	pais
período	período	período | períodos
portuguê	português	português
seis	seis	seis
situação	situação	situação
sério	sério	sério | sérios
time	time	time | times
via	via	via | vias
acha	acha	acha
amanhã	amanhã	amanhã
caminho	caminho	caminho | caminhos
carro	carro	carro | carros
deveria	deveria	deveria
dezembro	dezembro	dezembro
energia	energia	energia | energias
festa	festa	festa | festas
nível	nível	nível
questão	questão	questão
respeito	respeito	respeito
tot	total	total
vista	vista	vista | vistas
abril	abril	abril
acontece	acontece	acontece
devido	devido	devido
informação	informação	informação
inglê	inglês	inglês
irmão	irmão	irmão | irmãos
josé	josé	josé
novembro	novembro	novembro
objetivo	objetivo	objetivo | objetivos
partido	partido	partido | partidos
plano	plano	plano | planos
podemo	podemos	podemos
sociais	sociais	sociais
sucesso	sucesso	sucesso | sucessos
trabalhar	trabalhar	trabalhar
vale	vale	vale
viv	viver	viver
américa	américa	américa | américas
capit	capital	capital
cima	cima	cima
justiça	justiça	justiça
linha	linha	linha | linhas
membro	membros	membros | membro
mundi	mundial	mundial
n	n	n
presente	presente	presente | presentes
profess	professor	professor
quarto	quarto	quarto | quartos
seguir	seguir	seguir
tendo	tendo	tendo
teu	teu	teu
ali	ali	ali
ação	ação	ação
copa	copa	copa
ia	ia	ia
imagem	imagem	imagem
julho	julho	julho
luz	luz	luz
militar	militar	militar
modo	modo	modo | modos
movimento	movimento	movimento | movimentos
ordem	ordem	ordem
próximo	próximo	próximo | próximos
tomar	tomar	tomar
voz	voz	voz
ar	ar	ar
construção	construção	construção
espero	espero	espero
fevereiro	fevereiro	fevereiro
futuro	futuro	futuro | futuros
idade	idade	idade | idades
maria	maria	maria
mudar	mudar	mudar
obrigado	obrigado	obrigado | obrigados
vejo	vejo	vejo
visto	visto	visto | vistos
acredito	acredito	acredito
baixo	baixo	baixo | baixos
chega	chega	chega
controle	controle	controle
jeito	jeito	jeito
oi	oi	oi
principais	principais	principais
principalmente	principalmente	principalmente
pública	pública	pública | públicas
resultado	resultado	resultado | resultados
sala	sala	sala | salas
seguinte	seguinte	seguinte | seguintes
tradução	tradução	tradução
val	valor	valor | valer
ah	ah	ah
chamado	chamado	chamado | chamados
comprar	comprar	comprar
conselho	conselho	conselho | conselhos
daqui	daqui	daqui
edição	edição	edição
encontro	encontro	encontro | encontros
irá	irá	irá
ler	ler	ler
luta	luta	luta | lutas
mant	manter	manter
mensagem	mensagem	mensagem
novamente	novamente	novamente
obrigada	obrigada	obrigada
organização	organização	organização
parar	parar	parar
pergunta	pergunta	pergunta | perguntas
significa	significa	significa
tentar	tentar	tentar
teria	teria	teria
tirar	tirar	tirar
tua	tua	tua | tuas
amo	amo	amo
assunto	assunto	assunto | assuntos
centr	central	central
comum	comum	comum
conseguir	conseguir	conseguir
decisão	decisão	decisão
devem	devem	devem
faça	faça	faça
houve	houve	houve
joão	joão	joão
maiore	maiores	maiores
on	on	on
querem	querem	querem
sentido	sentido	sentido | sentidos
sexo	sexo	sexo
tecnologia	tecnologia	tecnologia | tecnologias
texto	texto	texto | textos
época	época	época
arte	arte	arte | artes
artigo	artigo	artigo | artigos
comunidade	comunidade	comunidade | comunidades
criar	criar	criar
facebook	facebook	facebook
igreja	igreja	igreja | igrejas
longe	longe	longe
prova	prova	prova | provas
sentir	sentir	sentir
vontade	vontade	vontade
acima	acima	acima
atu	atual	atual
civil	civil	civil
colocar	colocar	colocar
errado	errado	errado
existem	existem	existem
incluindo	incluindo	incluindo
m	m	m
obra	obra	obra | obras
olhar	olhar	olhar
perd	perder	perder
página	página	página | páginas
somente	somente	somente
usando	usando	usando
abaixo	abaixo	abaixo
conhec	conhecer	conhecer
dizendo	dizendo	dizendo
gosta	gosta	gosta
mostrar	mostrar	mostrar
participação	participação	participação
pedir	pedir	pedir
posição	posição	posição
possui	possui	possui
sabia	sabia	sabia
sup	super	super
achei	achei	achei
continuar	continuar	continuar
defesa	defesa	defesa
deixou	deixou	deixou
faço	faço	faço
online	online	online
origin	original	original
pequeno	pequeno	pequeno | pequenos
simple	simples	simples
tive	tive	tive
versão	versão	versão
vitória	vitória	vitória | vitórias
acontec	acontecer	acontecer
b	b	b
boca	boca	boca
can	canal	canal | can
carlo	carlos	carlos
comunicação	comunicação	comunicação
consegue	consegue	consegue
contar	contar	contar
feita	feita	feita | feitas
ministério	ministério	ministério
morr	morrer	morrer
pegar	pegar	pegar
pior	pior	pior
terá	terá	terá
veio	veio	veio
campanha	campanha	campanha | campanhas
chefe	chefe	chefe | chefes
conhecido	conhecido	conhecido | conhecidos
continua	continua	continua
câmara	câmara	câmara | câmaras
entend	entender	entender
mercado	mercado	mercado | mercados
ministro	ministro	ministro | ministros
resposta	resposta	resposta | respostas
serão	serão	serão
sol	sol	sol
tornou	tornou	tornou
trata	trata	trata
busca	busca	busca | buscas
conseguiu	conseguiu	conseguiu
criação	criação	criação
dez	dez	dez
mostra	mostra	mostra
pequena	pequena	pequena | pequenas
pesquisa	pesquisa	pesquisa | pesquisas
recurso	recursos	recursos | recurso
república	república	república
santo	santos	santos | santo
show	show	show | shows
ti	ti	ti
ambiente	ambiente	ambiente | ambientes
chama	chama	chama | chamas
chamada	chamada	chamada | chamadas
diversa	diversas	diversas
dizem	dizem	dizem
europa	europa	europa
finalmente	finalmente	finalmente
ganhar	ganhar	ganhar
http	http	http | https
morreu	morreu	morreu
passo	passo	passo | passos
político	político	político | políticos
portanto	portanto	portanto
razão	razão	razão
rei	rei	rei
santa	santa	santa
sexta	sexta	sexta
simplesmente	simplesmente	simplesmente
associação	associação	associação
blog	blog	blog | blogs
casamento	casamento	casamento | casamentos
começa	começa	começa
data	data	data | datas
exército	exército	exército
hospit	hospital	hospital
humano	humanos	humanos | humano
interesse	interesse	interesse
locais	locais	locais
motivo	motivo	motivo | motivos
pagar	pagar	pagar
realidade	realidade	realidade
rápido	rápido	rápido | rápidos
serem	serem	serem
tentando	tentando	tentando
tribun	tribunal	tribunal
união	união	união
viagem	viagem	viagem
vir	vir	vir
alta	alta	alta | altas
ambo	ambos	ambos
aquilo	aquilo	aquilo
banco	banco	banco | bancos
condiçõe	condições	condições
conteúdo	conteúdo	conteúdo | conteúdos
dess	desses	desses
espera	espera	espera
etc	etc	etc
jorn	jornal	jornal
mar	mar	mar
pedro	pedro	pedro
popular	popular	popular
porta	porta	porta | portas
praia	praia	praia | praias
prisão	prisão	prisão
responsável	responsável	responsável
revista	revista	revista | revistas
senhora	senhora	senhora | senhoras
silva	silva	silva
tais	tais	tais
tema	tema	tema | temas
acabar	acabar	acabar
americano	americano	americano | americanos
ataque	ataque	ataque | ataques
atualmente	atualmente	atualmente
aut	autor	autor
clube	clube	clube | clubes
curso	curso	curso | cursos
diverso	diversos	diversos
fundo	fundo	fundo | fundos
joven	jovens	jovens
las	las	las | laser
levou	levou	levou
liga	liga	liga
presença	presença	presença
próxima	próxima	próxima | próximas
rádio	rádio	rádio | rádios
sete	sete	sete
tornar	tornar	tornar
trá	trás	trás
tá	tá	tá
verde	verde	verde | verdes
branco	branco	branco | brancos
comida	comida	comida | comidas
especialmente	especialmente	especialmente
experiência	experiência	experiência | experiências
fase	fase	fase | fases
leva	leva	leva
modelo	modelo	modelo | modelos
nat	natal	natal
nota	nota	nota | notas
opinião	opinião	opinião
oportunidade	oportunidade	oportunidade | oportunidades
ouro	ouro	ouro
pé	pé	pé
sábado	sábado	sábado
termo	termos	termos | termo
bairro	bairro	bairro | bairros
chamar	chamar	chamar
costa	costa	costa | costas
crime	crime	crime | crimes
código	código	código | códigos
diret	diretor	diretor
domingo	domingo	domingo | domingos
encontra	encontra	encontra
esperar	esperar	esperar
estudo	estudos	estudos | estudo
falou	falou	falou
fonte	fonte	fonte | fontes
graça	graças	graças | graça
importa	importa	importa
instituto	instituto	instituto
john	john	john
morto	mortos	mortos | morto
notícia	notícias	notícias | notícia
recebeu	recebeu	recebeu
tinham	tinham	tinham
altura	altura	altura
arma	armas	armas | arma
açõe	ações	ações
banda	banda	banda | bandas
companhia	companhia	companhia | companhias
dando	dando	dando
dormir	dormir	dormir
economia	economia	economia
fiquei	fiquei	fiquei
fizeram	fizeram	fizeram
gostaria	gostaria	gostaria
imagen	imagens	imagens
jogar	jogar	jogar
liberdade	liberdade	liberdade
possa	possa	possa
receb	receber	receber
sabem	sabem	sabem
sejam	sejam	sejam
seleção	seleção	seleção
superi	superior	superior
tivesse	tivesse	tivesse
velho	velho	velho | velhos
atividade	atividades	atividades | atividade
aumento	aumento	aumento
cabelo	cabelo	cabelo | cabelos
café	café	café
cultur	cultural	cultural
desculpa	desculpa	desculpa | desculpas
dor	dor	dor
ensino	ensino	ensino
escolha	escolha	escolha | escolhas
faculdade	faculdade	faculdade | faculdades
fogo	fogo	fogo | fogos
irmã	irmã	irmã | irmãs
pensando	pensando	pensando
podia	podia	podia
profis	profissional	profissional
prêmio	prêmio	prêmio | prêmios
reais	reais	reais
relaçõe	relações	relações
sorte	sorte	sorte
televisão	televisão	televisão
comissão	comissão	comissão
diferença	diferença	diferença | diferenças
digit	digital	digital
direção	direção	direção
entrada	entrada	entrada | entradas
estilo	estilo	estilo | estilos
eua	eua	eua
formação	formação	formação
globo	globo	globo
indo	indo	indo
lembra	lembra	lembra
líd	líder	líder
massa	massa	massa | massas
missão	missão	missão
monte	monte	monte | montes
municip	municipal	municipal
médico	médico	médico | médicos
negócio	negócio	negócio | negócios
norm	normal	normal
pensa	pensa	pensa
quarta	quarta	quarta | quartas
resto	resto	resto | restos
título	título	título | títulos
visita	visita	visita | visitas
voto	votos	votos | voto
you	you	you
zona	zona	zona | zonas
animais	animais	animais
aprend	aprender	aprender
cama	cama	cama
certa	certa	certa | certas
conhecimento	conhecimento	conhecimento | conhecimentos
interi	interior	interior
licença	licença	licença
linda	linda	linda | lindas
mente	mente	mente | mentes
mudança	mudança	mudança | mudanças
município	município	município | municípios
média	média	média | médias
médio	médio	médio
preço	preço	preço | preços
qualidade	qualidade	qualidade | qualidades
sai	sai	sai
us	us	us
acredita	acredita	acredita
al	al	al
aniversário	aniversário	aniversário
celular	celular	celular
china	china	china
conversa	conversa	conversa | conversas
corte	corte	corte | cortes
escrev	escrever	escrever
esposa	esposa	esposa | esposas
frança	frança	frança
ilha	ilha	ilha | ilhas
marca	marca	marca | marcas
medida	medida	medida | medidas
menina	menina	menina | meninas
metade	metade	metade
natur	natural	natural
perfil	perfil	perfil
portuguesa	portuguesa	portuguesa | portuguesas
preso	preso	preso | presos
usuário	usuários	usuários | usuário
v	v	v
verão	verão	verão
apresenta	apresenta	apresenta
contrário	contrário	contrário
dr	dr	dr
esquerda	esquerda	esquerda
ganhou	ganhou	ganhou
incrível	incrível	incrível
men	menor	menor | men
natureza	natureza	natureza
ok	ok	ok
perdeu	perdeu	perdeu
saiu	saiu	saiu
sente	sente	sente
visão	visão	visão
abrir	abrir	abrir
aluno	alunos	alunos | aluno
capacidade	capacidade	capacidade | capacidades
capaz	capaz	capaz
carta	carta	carta | cartas
cedo	cedo	cedo
conjunto	conjunto	conjunto
deixe	deixe	deixe
fernando	fernando	fernando
fome	fome	fome
inclusive	inclusive	inclusive
lembrar	lembrar	lembrar
lembro	lembro	lembro
leste	leste	leste
lugare	lugares	lugares
matar	matar	matar
meia	meia	meia | meias
parque	parque	parque | parques
proposta	proposta	proposta | propostas
reunião	reunião	reunião
sonho	sonho	sonho | sonhos
sp	sp	sp
transporte	transporte	transporte | transportes
voltou	voltou	voltou
achar	achar	achar
conhece	conhece	conhece
cor	cor	cor | coral
culpa	culpa	culpa
departamento	departamento	departamento | departamentos
dólare	dólares	dólares
eleiçõe	eleições	eleições
emprego	emprego	emprego | empregos
escreveu	escreveu	escreveu
estrutura	estrutura	estrutura | estruturas
exatamente	exatamente	exatamente
fico	fico	fico
importância	importância	importância
interessante	interessante	interessante | interessantes
operação	operação	operação
origem	origem	origem
provavelmente	provavelmente	provavelmente
risco	risco	risco | riscos
suficiente	suficiente	suficiente | suficientes
temporada	temporada	temporada | temporadas
usado	usado	usado | usados
ai	ai	ai
beleza	beleza	beleza
cabo	cabo	cabo | cabos
esperando	esperando	esperando
esteja	esteja	esteja
necessidade	necessidade	necessidade | necessidades
oito	oito	oito
queremo	queremos	queremos
quinta	quinta	quinta
século	século	século | séculos
usa	usa	usa
vive	vive	vive
acaba	acaba	acaba
americana	americana	americana | americanas
amiga	amiga	amiga | amigas
anteri	anterior	anterior
belo	belo	belo
cinema	cinema	cinema | cinemas
classe	classe	classe
começo	começo	começo
criado	criado	criado | criados
entrevista	entrevista	entrevista | entrevistas
estação	estação	estação
fé	fé	fé
lula	lula	lula
materi	material	material
mudou	mudou	mudou
méxico	méxico	méxico
necessário	necessário	necessário | necessários
passando	passando	passando
pedido	pedido	pedido | pedidos
